stem,day,lvl,before,after,sat,amp_med,err
20260721_003253,20260721,121.0,3.052,0.349,2,3.335,
20260721_003547,20260721,115.3,1.891,0.448,2,3.598,
20260721_003841,20260721,110.0,4.952,2.373,2,2.966,
20260721_004134,20260721,107.0,7.191,2.93,1,3.718,
20260721_004431,20260721,103.0,0.043,-0.408,1,2.667,
20260721_004724,20260721,97.3,6.874,2.96,1,3.718,
20260721_005042,20260721,84.0,6.296,2.193,0,3.718,
20260721_005336,20260721,63.7,6.581,3.979,0,3.718,
20260721_005630,20260721,43.3,6.883,2.516,0,3.718,
20260721_005924,20260721,26.3,7.72,5.64,0,3.718,
20260721_010217,20260721,16.7,-3.435,-3.44,0,3.718,
20260721_010511,20260721,12.0,12.534,9.32,0,3.718,
20260721_010607,20260721,9.3,8.195,5.508,0,3.718,
20260721_011143,20260721,0.7,10.368,8.354,0,3.718,
20260721_011753,20260721,0.0,nan,nan,0,3.718,
20260721_012326,20260721,0.0,nan,nan,0,3.718,
20260721_012901,20260721,0.0,nan,nan,0,3.718,
20260721_013433,20260721,0.0,nan,nan,0,3.718,
20260721_014007,20260721,0.0,nan,nan,0,3.718,
20260721_091439,20260721,0.0,nan,nan,0,3.718,
20260721_092012,20260721,0.0,nan,nan,0,3.718,
20260721_092548,20260721,0.0,nan,nan,0,3.718,
20260721_093121,20260721,0.0,nan,nan,0,3.718,
20260721_093654,20260721,0.0,12.843,12.843,0,3.718,
20260721_094229,20260721,2.7,11.177,9.841,0,3.718,
20260721_094854,20260721,12.7,10.101,8.465,0,3.718,
20260721_095147,20260721,20.3,8.876,7.477,0,3.718,
20260721_095441,20260721,36.0,6.404,4.846,0,3.718,
20260721_095735,20260721,56.7,-3.049,-3.917,0,2.966,
20260721_100029,20260721,77.3,4.443,2.222,0,3.718,
20260721_100323,20260721,90.3,5.4,2.479,1,3.718,
20260721_100617,20260721,99.0,6.786,3.126,1,3.718,
20260721_100915,20260721,107.0,4.9,2.655,2,3.718,
20260721_101209,20260721,112.3,4.874,2.037,2,3.275,
20260721_101502,20260721,120.3,5.562,1.38,2,2.966,
20260721_101756,20260721,128.7,6.549,2.099,3,2.966,
20260721_102050,20260721,136.3,8.009,4.183,3,2.966,
20260721_102343,20260721,142.0,11.375,6.257,3,2.966,
20260721_102637,20260721,150.0,-0.018,-1.234,4,2.889,
20260721_102930,20260721,154.3,5.986,0.406,4,2.966,
20260721_103223,20260721,157.7,2.488,0.197,5,2.217,
20260721_103521,20260721,159.3,9.733,4.444,6,2.479,
20260721_103815,20260721,160.7,3.618,1.161,6,2.479,
20260721_104108,20260721,162.7,3.06,0.725,6,2.479,
20260721_104401,20260721,164.3,5.169,0.856,6,2.479,
20260721_104655,20260721,163.3,2.742,0.363,6,2.479,
20260721_104948,20260721,163.3,3.027,0.229,5,2.479,
20260721_105241,20260721,162.0,6.19,1.544,5,2.889,
20260721_105535,20260721,161.3,6.022,0.726,4,2.966,
20260721_105828,20260721,160.0,12.379,6.934,4,2.966,
20260721_110130,20260721,159.3,11.24,6.186,4,2.966,
20260721_110423,20260721,159.3,10.226,5.004,4,2.966,
20260721_110717,20260721,161.7,12.852,7.892,5,2.889,
20260721_111010,20260721,163.0,6.158,1.587,4,2.966,
20260721_111304,20260721,160.7,3.93,0.651,5,2.217,
20260721_111557,20260721,159.3,6.651,1.347,5,2.889,
20260721_111850,20260721,159.7,5.146,1.226,5,2.889,
20260721_112144,20260721,160.3,4.333,0.601,5,2.889,
20260721_112437,20260721,159.3,4.512,0.833,5,2.889,
20260721_112737,20260721,159.7,10.525,5.773,4,2.966,
20260721_113030,20260721,158.7,-0.41,-0.579,5,1.977,
20260721_113324,20260721,156.0,4.072,0.047,4,2.889,
20260721_113617,20260721,153.0,-1.409,-1.588,4,1.974,
20260721_113749,20260721,150.7,-14.556,-15.001,4,2.17,
20260721_114324,20260721,156.0,4.47,1.024,4,2.966,
20260721_114902,20260721,161.7,-0.884,-2.052,4,2.217,
20260721_115437,20260721,167.0,-0.373,-0.884,6,2.479,
20260721_120012,20260721,168.3,1.66,-0.277,6,2.479,
20260721_120549,20260721,165.0,3.231,0.871,4,2.889,
20260721_121124,20260721,159.0,2.01,0.346,3,2.889,
20260721_121659,20260721,157.3,4.673,1.801,3,2.889,
20260721_122237,20260721,153.3,5.773,1.83,3,2.966,
20260721_122811,20260721,146.3,-0.337,-1.066,3,2.479,
20260721_123347,20260721,138.0,2.328,0.734,3,2.637,
20260721_123925,20260721,134.3,4.569,1.258,2,2.966,
20260721_124501,20260721,134.0,5.853,2.146,1,3.718,
20260721_125037,20260721,134.7,5.236,2.556,1,2.966,
20260721_125615,20260721,135.3,1.71,0.118,1,2.353,
20260721_130151,20260721,137.7,4.241,1.809,1,2.966,
20260721_130727,20260721,142.3,4.828,1.478,1,2.966,
20260721_131304,20260721,138.7,5.363,1.34,3,2.966,
20260721_131840,20260721,135.0,5.064,2.192,3,2.966,
20260721_132415,20260721,129.3,4.438,1.103,3,2.966,
20260721_132952,20260721,121.3,5.307,1.932,2,2.966,
20260721_133527,20260721,119.3,1.814,-0.126,2,2.966,
20260721_134101,20260721,119.0,3.868,2.035,2,2.907,
20260721_134637,20260721,117.7,6.917,3.424,1,3.718,
20260721_135212,20260721,123.7,2.981,1.582,0,2.966,
20260721_135746,20260721,122.7,7.099,3.581,0,3.583,
20260721_140323,20260721,113.7,6.669,3.665,0,3.718,
20260721_140858,20260721,109.7,5.005,3.052,0,3.718,
20260721_141432,20260721,112.3,3.906,1.972,0,3.682,
20260721_142009,20260721,124.0,6.907,2.406,0,3.718,
20260721_142627,20260721,149.0,3.686,1.679,3,2.966,
20260721_143201,20260721,133.7,5.938,2.92,3,2.966,
20260721_143738,20260721,127.3,5.42,2.413,3,2.966,
20260721_144312,20260721,134.0,7.846,4.935,3,2.966,
20260721_144847,20260721,137.0,3.347,1.151,3,2.889,
20260721_145423,20260721,127.0,4.974,1.894,2,3.718,
20260721_145957,20260721,121.0,2.545,1.228,3,2.558,
20260721_150532,20260721,117.7,6.041,3.319,1,2.966,
20260721_151108,20260721,104.7,-0.593,-1.808,1,1.444,
20260721_151642,20260721,82.0,6.385,3.258,0,3.718,
20260721_152216,20260721,73.3,3.912,1.447,0,3.718,
20260721_152752,20260721,69.3,6.134,3.248,0,3.718,
20260721_153326,20260721,71.7,5.875,3.305,0,3.718,
20260721_153900,20260721,76.7,6.712,3.787,0,3.718,
20260721_154437,20260721,78.0,7.547,4.201,0,3.718,
20260721_155011,20260721,80.0,7.474,3.452,0,3.718,
20260721_155545,20260721,80.3,7.022,3.468,0,3.718,
20260721_160121,20260721,88.0,5.936,3.172,0,3.718,
20260721_160655,20260721,111.0,6.059,2.707,0,3.718,
20260721_161230,20260721,111.0,5.423,2.374,0,3.716,
20260721_161806,20260721,98.0,6.405,3.666,0,3.718,
20260721_162344,20260721,88.0,6.393,2.868,0,3.718,
20260721_162935,20260721,82.7,5.206,2.287,0,3.718,
20260721_163512,20260721,67.7,5.925,3.14,0,3.718,
20260721_164046,20260721,68.0,5.749,3.547,0,3.718,
20260721_164620,20260721,69.7,5.381,2.238,0,3.718,
20260721_165156,20260721,65.7,6.648,4.501,0,3.718,
20260721_165730,20260721,66.0,6.141,4.436,0,3.718,
20260721_170304,20260721,65.7,5.476,3.335,0,3.718,
20260721_170840,20260721,61.3,6.88,4.42,0,3.718,
20260721_171414,20260721,67.0,5.328,3.0,0,3.718,
20260721_171948,20260721,76.7,5.376,3.81,0,3.718,
20260721_172608,20260721,59.7,6.772,3.61,0,3.718,
20260721_173141,20260721,49.0,8.056,4.234,0,3.718,
20260721_173716,20260721,34.3,8.286,5.696,0,3.718,
20260721_174251,20260721,19.7,8.968,5.847,0,3.718,
20260721_174825,20260721,16.3,9.511,7.028,0,3.718,
20260721_175358,20260721,21.7,7.485,4.511,0,3.718,
20260721_175935,20260721,40.7,8.576,5.076,0,3.718,
20260721_180511,20260721,63.3,5.794,3.938,0,3.718,
20260721_181050,20260721,102.0,5.566,2.282,0,3.718,
20260721_181632,20260721,108.0,5.231,1.401,1,3.718,
20260721_182209,20260721,105.7,-5.19,-5.196,3,1.977,
20260721_182744,20260721,118.7,9.336,6.242,2,3.679,
20260721_183327,20260721,120.3,5.674,2.365,3,2.966,
20260721_183904,20260721,135.3,7.119,3.339,3,2.966,
20260721_184442,20260721,128.7,8.252,4.484,1,3.718,
20260721_185020,20260721,91.7,1.949,0.951,0,2.966,
20260721_185559,20260721,126.7,5.734,2.65,2,2.966,
20260721_190138,20260721,125.0,4.274,1.911,0,2.966,
20260721_190718,20260721,119.0,7.139,3.875,3,2.966,
20260721_191257,20260721,129.0,0.236,-0.136,3,2.217,
20260721_191831,20260721,131.0,10.104,5.909,3,2.966,
20260721_192409,20260721,108.7,5.286,1.944,1,3.718,
20260721_192946,20260721,107.0,-6.969,-7.874,3,2.479,
20260721_193521,20260721,114.7,2.823,0.441,3,2.868,
20260721_194058,20260721,107.0,7.278,2.466,1,3.718,
20260721_194632,20260721,101.7,4.928,2.068,0,3.718,
20260721_195212,20260721,92.3,9.883,5.799,0,3.326,
20260721_195748,20260721,86.7,2.381,1.21,0,3.718,
20260721_200322,20260721,59.3,3.239,1.902,0,2.966,
20260721_200857,20260721,69.0,4.378,1.908,0,3.718,
20260721_201435,20260721,65.0,-6.586,-6.606,0,2.479,
20260721_202010,20260721,89.0,4.761,1.816,0,3.718,
20260721_202627,20260721,98.0,5.354,3.259,3,2.966,
20260721_203205,20260721,100.7,5.248,1.996,3,2.966,
20260721_203740,20260721,112.7,15.478,11.065,3,2.966,
20260721_204315,20260721,118.7,7.285,4.505,3,2.966,
20260721_204852,20260721,113.7,-3.493,-3.714,3,2.363,
20260721_205427,20260721,130.0,4.335,1.449,2,2.966,
20260721_210002,20260721,154.0,5.555,2.238,3,2.966,
20260721_210540,20260721,151.7,3.532,0.353,3,2.966,
20260721_211115,20260721,149.3,5.919,0.984,3,2.966,
20260721_211650,20260721,154.0,-17.15,-17.148,4,2.479,
20260721_212226,20260721,157.0,9.832,6.236,4,2.966,
20260721_212801,20260721,140.0,4.007,1.133,3,2.964,
20260721_213335,20260721,156.3,5.896,2.195,5,2.832,
20260721_213912,20260721,156.7,-8.195,-8.903,4,2.535,
20260721_214448,20260721,134.7,13.342,9.491,4,2.966,
20260721_215023,20260721,148.7,6.266,2.304,3,2.966,
20260721_215559,20260721,159.7,1.607,0.248,3,2.217,
20260721_220134,20260721,156.0,6.99,2.802,5,2.889,
20260721_220709,20260721,159.0,19.314,14.372,3,2.966,
20260721_221246,20260721,152.0,8.42,2.59,4,2.966,
20260721_221820,20260721,160.3,0.147,-0.808,6,1.977,
20260721_222355,20260721,164.3,4.443,-0.078,4,2.966,
20260721_222932,20260721,163.0,11.473,6.257,4,2.966,
20260721_223507,20260721,161.3,-2.327,-2.801,5,1.658,
20260721_224041,20260721,160.7,-5.352,-5.707,5,2.149,
20260721_224618,20260721,160.7,3.154,-0.246,4,2.889,
20260721_225154,20260721,163.0,5.171,1.166,4,2.966,
20260721_225729,20260721,161.0,4.642,0.364,4,2.966,
20260721_230306,20260721,165.7,4.367,0.205,4,2.966,
20260721_230841,20260721,163.0,2.813,-0.645,4,2.889,
20260721_231425,20260721,158.7,-7.856,-9.883,4,2.966,
20260721_231746,20260721,155.0,3.828,1.168,6,2.479,
20260721_232039,20260721,155.7,-7.459,-8.084,6,2.217,
20260721_232333,20260721,151.3,8.981,5.258,6,2.479,
20260721_232626,20260721,155.0,2.947,-0.937,6,2.479,
20260721_232920,20260721,158.0,6.793,2.93,5,2.889,
20260721_233213,20260721,161.7,1.635,-0.471,5,2.217,
20260721_233507,20260721,165.0,3.292,-0.121,5,2.678,
20260721_233801,20260721,166.0,3.237,1.012,5,2.678,
20260721_234054,20260721,160.3,3.264,0.603,5,2.889,
20260721_234348,20260721,156.7,3.619,0.489,5,2.844,
20260721_234650,20260721,158.7,3.605,0.362,5,2.854,
20260721_234944,20260721,160.0,4.501,0.201,5,2.889,
20260721_235237,20260721,152.3,4.59,0.862,4,2.889,
20260721_235531,20260721,158.7,7.313,2.521,4,2.966,
20260721_235825,20260721,154.7,0.932,-1.393,4,2.805,
20260722_000118,20260722,147.0,1.723,-0.409,3,2.824,
20260722_000413,20260722,142.3,9.006,2.439,4,3.13,
20260722_000707,20260722,126.3,-4.999,-5.405,4,2.508,
20260722_001000,20260722,109.7,-3.199,-5.881,2,2.546,
20260722_001256,20260722,114.3,3.721,0.558,1,3.415,
20260722_001550,20260722,120.0,9.539,5.015,2,3.415,
20260722_001844,20260722,128.7,0.931,-0.735,3,2.546,
20260722_002138,20260722,130.7,12.364,6.275,3,3.415,
20260722_002431,20260722,121.3,-0.781,-3.093,2,2.641,
20260722_002725,20260722,118.0,-5.984,-6.334,2,2.516,
20260722_003019,20260722,113.0,10.772,5.035,2,3.415,
20260722_003313,20260722,98.7,7.542,2.971,2,3.415,
20260722_003606,20260722,93.3,2.603,0.447,0,3.763,
20260722_003905,20260722,101.3,-11.788,-12.247,0,2.409,
20260722_004159,20260722,101.0,1.708,-1.216,0,3.346,
20260722_004453,20260722,91.0,11.141,6.451,0,3.82,
20260722_004747,20260722,69.3,6.734,4.679,0,3.82,
20260722_005041,20260722,50.7,9.222,6.399,0,3.82,
20260722_005335,20260722,36.3,-2.172,-4.265,0,3.415,
20260722_005629,20260722,20.7,8.223,5.334,0,3.82,
20260722_005922,20260722,8.3,-38.381,-38.396,0,2.966,
20260722_010216,20260722,2.0,19.85,16.375,0,3.82,
20260722_010550,20260722,0.0,-8.107,-8.107,0,3.82,
20260722_011125,20260722,0.0,nan,nan,0,3.82,
20260722_011735,20260722,0.0,nan,nan,0,3.82,
20260722_012308,20260722,0.0,nan,nan,0,3.82,
20260722_012846,20260722,0.0,nan,nan,0,3.82,
20260722_013419,20260722,0.0,nan,nan,0,3.82,
20260722_013952,20260722,0.0,nan,nan,0,3.82,
20260722_091432,20260722,0.0,nan,nan,0,3.82,
20260722_092006,20260722,0.0,nan,nan,0,3.82,
20260722_092541,20260722,0.0,nan,nan,0,3.82,
20260722_093114,20260722,0.0,nan,nan,0,3.82,
20260722_093647,20260722,0.0,25.034,25.034,0,3.82,
20260722_094222,20260722,0.0,4.483,4.483,0,3.82,
20260722_094800,20260722,2.0,31.267,31.281,0,3.82,
20260722_095059,20260722,5.7,14.9,14.087,0,3.82,
20260722_095353,20260722,12.0,12.501,9.729,0,3.82,
20260722_095647,20260722,22.7,16.539,12.343,0,3.82,
20260722_095941,20260722,35.3,6.58,4.137,0,3.82,
20260722_100235,20260722,56.3,13.897,9.215,0,3.82,
20260722_100529,20260722,68.0,6.367,3.762,0,3.82,
20260722_100823,20260722,78.7,5.387,1.596,0,3.82,
20260722_101116,20260722,75.0,8.268,4.594,0,3.82,
20260722_101410,20260722,78.3,8.128,4.483,0,3.82,
20260722_101704,20260722,93.7,10.0,5.867,0,3.82,
20260722_102000,20260722,103.3,6.803,2.245,0,3.82,
20260722_102254,20260722,104.0,9.832,5.299,0,3.82,
20260722_102548,20260722,98.7,5.356,1.821,0,3.82,
20260722_102842,20260722,95.0,3.162,1.042,0,3.415,
20260722_103136,20260722,93.7,8.689,5.484,0,3.82,
20260722_103429,20260722,91.0,6.736,4.099,0,3.763,
20260722_103723,20260722,102.7,4.097,0.295,1,3.304,
20260722_104017,20260722,105.3,-0.109,-1.109,2,2.508,
20260722_104311,20260722,106.3,4.932,0.306,0,3.82,
20260722_104611,20260722,116.0,5.714,1.655,0,3.82,
20260722_104905,20260722,112.7,8.256,2.87,0,3.82,
20260722_105159,20260722,111.7,1.417,-0.726,0,3.293,
20260722_105453,20260722,125.3,-1.719,-4.53,3,3.046,
20260722_105746,20260722,123.7,7.759,2.472,3,3.415,
20260722_110040,20260722,137.7,4.588,0.758,2,3.415,
20260722_110334,20260722,144.0,4.034,-0.25,3,3.3,
20260722_110627,20260722,155.0,4.012,0.609,5,2.546,
20260722_110921,20260722,149.7,6.223,0.97,3,3.415,
20260722_111221,20260722,147.0,8.492,3.286,4,2.508,
20260722_111515,20260722,150.3,4.96,1.88,2,3.415,
20260722_111808,20260722,148.7,-0.239,-0.555,4,2.508,
20260722_112102,20260722,142.7,10.716,7.011,2,3.415,
20260722_112356,20260722,131.7,4.698,1.707,1,3.415,
20260722_112650,20260722,118.7,5.023,2.562,0,3.82,
20260722_112944,20260722,104.0,4.711,1.14,0,3.466,
20260722_113238,20260722,98.7,4.49,2.434,0,3.57,
20260722_113531,20260722,115.3,6.905,3.433,0,3.82,
20260722_113815,20260722,113.3,4.518,1.016,0,3.415,
20260722_114351,20260722,96.0,3.276,0.389,0,3.82,
20260722_114929,20260722,84.7,3.729,0.833,0,3.731,
20260722_115504,20260722,77.3,3.477,0.859,0,3.82,
20260722_120039,20260722,79.3,-0.761,-2.654,0,3.243,
20260722_120616,20260722,90.3,11.934,8.334,2,3.415,
20260722_121151,20260722,100.7,4.971,2.54,0,3.477,
20260722_121727,20260722,123.0,-3.874,-4.246,2,2.212,
20260722_122304,20260722,125.0,4.72,1.93,0,3.415,
20260722_122839,20260722,132.0,4.635,1.215,0,3.487,
20260722_123415,20260722,126.7,4.174,1.063,0,3.415,
20260722_123953,20260722,126.0,5.537,1.326,2,3.415,
20260722_124529,20260722,135.0,3.989,1.177,2,3.046,
20260722_125104,20260722,135.3,-0.174,-0.578,2,2.098,
20260722_125641,20260722,132.3,-4.683,-4.676,1,2.661,
20260722_130216,20260722,128.3,7.428,3.421,0,3.56,
20260722_130752,20260722,120.7,2.058,0.107,1,2.939,
20260722_131330,20260722,128.7,15.406,10.309,2,3.415,
20260722_131905,20260722,129.7,12.481,8.182,1,3.415,
20260722_132441,20260722,130.0,3.67,1.355,2,3.415,
20260722_133019,20260722,132.7,7.198,2.725,2,3.415,
20260722_133555,20260722,131.0,3.972,0.422,0,3.417,
20260722_134130,20260722,134.3,10.636,5.627,2,3.415,
20260722_134708,20260722,133.7,-1.096,-2.251,2,2.508,
20260722_135243,20260722,138.0,11.625,5.762,2,3.415,
20260722_135817,20260722,139.0,6.207,2.236,2,3.415,
20260722_140354,20260722,131.7,0.596,-1.5,0,2.502,
20260722_140929,20260722,131.3,6.467,2.05,2,3.415,
20260722_141505,20260722,129.3,-0.433,-1.541,2,2.601,
20260722_142043,20260722,129.0,5.949,1.988,1,3.415,
20260722_142702,20260722,136.7,-0.53,-1.05,2,1.889,
20260722_143237,20260722,140.0,-1.111,-1.579,2,2.508,
20260722_143815,20260722,137.0,2.72,0.267,1,3.062,
20260722_144350,20260722,144.0,4.613,1.595,2,3.415,
20260722_144924,20260722,142.0,-1.611,-2.184,2,2.508,
20260722_145503,20260722,142.7,2.113,-0.408,1,3.421,
20260722_150038,20260722,144.7,4.675,1.612,2,3.415,
20260722_150612,20260722,134.0,7.407,4.055,1,3.629,
20260722_151149,20260722,132.3,-4.492,-4.494,2,2.293,
20260722_151723,20260722,132.7,-6.637,-6.673,2,1.907,
20260722_152258,20260722,135.0,-2.508,-2.954,2,3.261,
20260722_152834,20260722,144.0,5.967,1.588,2,3.415,
20260722_153409,20260722,140.3,6.665,1.677,2,3.415,
20260722_153943,20260722,137.3,18.329,13.68,2,3.415,
20260722_154520,20260722,140.7,-2.959,-3.339,2,2.158,
20260722_155054,20260722,137.7,3.609,-1.058,2,3.415,
20260722_155629,20260722,142.3,-4.242,-5.01,2,2.293,
20260722_160206,20260722,142.7,-1.877,-2.227,2,2.546,
20260722_160740,20260722,137.7,-6.212,-6.661,1,2.309,
20260722_161314,20260722,133.0,1.426,0.681,1,3.256,
20260722_161851,20260722,142.3,-12.856,-12.856,2,2.293,
20260722_162425,20260722,133.7,2.109,-0.698,1,3.394,
20260722_163000,20260722,131.7,-17.219,-17.242,3,2.546,
20260722_163536,20260722,146.3,2.261,-0.935,2,3.083,
20260722_164111,20260722,144.3,10.472,5.434,2,3.415,
20260722_164645,20260722,143.7,10.149,4.941,2,3.415,
20260722_165222,20260722,138.3,31.959,27.208,1,3.82,
20260722_165757,20260722,135.3,2.615,-0.358,2,3.415,
20260722_170331,20260722,134.7,-0.104,-1.391,2,3.415,
20260722_170908,20260722,143.0,13.257,7.086,2,3.415,
20260722_171443,20260722,141.7,11.147,5.692,2,3.415,
20260722_172018,20260722,133.7,12.424,6.867,2,3.415,
20260722_172638,20260722,138.7,19.173,13.281,0,3.82,
20260722_173212,20260722,137.7,4.922,0.826,2,3.415,
20260722_173747,20260722,140.3,15.967,10.4,2,3.415,
20260722_174323,20260722,136.0,4.206,0.679,2,3.415,
20260722_174858,20260722,134.0,2.903,0.075,1,3.415,
20260722_175432,20260722,138.0,-3.384,-4.55,2,2.508,
20260722_180009,20260722,141.0,11.077,6.264,2,3.415,
20260722_180543,20260722,141.0,13.472,8.199,0,3.436,
20260722_181118,20260722,141.0,12.376,6.746,2,3.415,
20260722_181654,20260722,135.0,10.423,5.57,2,3.415,
20260722_182229,20260722,138.3,16.436,11.022,1,3.82,
20260722_182804,20260722,132.0,3.338,0.052,1,3.415,
20260722_183340,20260722,130.7,-1.293,-2.125,1,2.171,
20260722_183915,20260722,133.3,11.652,6.872,1,3.415,
20260722_184449,20260722,131.0,10.634,5.54,2,3.415,
20260722_185026,20260722,133.0,29.801,25.563,1,3.82,
20260722_185601,20260722,128.3,7.209,3.673,2,3.415,
20260722_190136,20260722,127.7,22.045,17.376,1,3.82,
20260722_190713,20260722,126.3,-9.74,-9.74,2,2.293,
20260722_191247,20260722,128.3,-2.76,-2.859,1,2.293,
20260722_191822,20260722,132.0,28.884,23.691,2,3.415,
20260722_192358,20260722,124.3,-0.376,-3.258,1,3.82,
20260722_192933,20260722,141.0,19.304,13.65,2,3.415,
20260722_193507,20260722,137.7,16.261,11.599,1,3.82,
20260722_194044,20260722,137.7,6.555,1.757,2,3.415,
20260722_194618,20260722,136.7,12.518,7.61,2,3.415,
20260722_195153,20260722,136.7,34.279,30.172,1,3.415,
20260722_195730,20260722,144.7,3.037,-0.288,2,3.415,
20260722_200304,20260722,143.3,0.733,-0.549,2,3.16,
20260722_200839,20260722,140.3,-14.165,-14.169,3,2.546,
20260722_201416,20260722,136.7,10.697,5.6,2,3.415,
20260722_201950,20260722,144.0,-11.717,-11.717,3,2.293,
20260722_202609,20260722,154.0,7.023,2.521,3,3.415,
20260722_203145,20260722,149.0,-3.904,-4.552,3,2.508,
20260722_203720,20260722,141.3,4.76,1.112,2,3.415,
20260722_204256,20260722,143.7,0.035,-1.438,2,2.74,
20260722_204509,20260722,142.0,7.187,1.851,2,3.415,
