stem,day,lvl,before,after,sat,amp_med,err
20260720_174507,20260720,130.7,3.678,1.674,0,3.168,
20260720_175042,20260720,130.0,6.152,2.576,0,3.528,
20260720_175616,20260720,130.0,5.114,2.048,0,3.397,
20260720_180152,20260720,130.7,4.984,2.64,0,3.528,
20260720_180728,20260720,131.0,4.751,2.446,0,3.528,
20260720_181302,20260720,131.0,4.699,1.924,0,3.528,
20260720_181838,20260720,130.3,5.628,2.823,0,3.528,
20260720_182412,20260720,130.0,3.827,1.823,0,3.168,
20260720_182946,20260720,130.0,4.258,2.261,0,3.528,
20260720_183523,20260720,130.7,4.778,1.239,0,3.528,
20260720_184057,20260720,130.3,3.881,1.819,0,3.168,
20260720_184631,20260720,131.3,3.529,0.64,0,3.06,
20260720_185207,20260720,132.7,5.423,2.59,0,3.168,
20260720_185742,20260720,132.7,4.779,2.313,0,3.168,
20260720_190316,20260720,133.3,5.139,2.148,0,3.168,
20260720_190852,20260720,135.3,6.602,2.843,0,3.191,
20260720_191427,20260720,134.0,3.405,1.234,0,3.296,
20260720_192001,20260720,137.3,0.075,-0.514,0,3.168,
20260720_192537,20260720,135.3,8.872,5.408,0,3.528,
20260720_193111,20260720,135.3,3.945,1.18,0,3.168,
20260720_193645,20260720,132.7,6.184,2.464,0,3.528,
20260720_194222,20260720,132.7,3.816,1.0,0,3.168,
20260720_194756,20260720,132.3,4.608,2.177,0,3.312,
20260720_195331,20260720,132.3,2.928,0.833,0,3.06,
20260720_195908,20260720,134.0,3.545,0.506,0,3.528,
20260720_200442,20260720,135.0,3.718,1.116,0,3.168,
20260720_201016,20260720,135.3,4.696,0.967,0,3.168,
20260720_201552,20260720,137.7,3.645,1.288,0,2.772,
20260720_202126,20260720,138.0,4.529,1.372,1,3.168,
20260720_202744,20260720,145.3,9.239,4.152,1,3.168,
20260720_203320,20260720,144.0,4.685,1.111,0,3.168,
20260720_203854,20260720,141.0,1.151,-0.753,0,2.298,
20260720_204428,20260720,142.0,4.347,1.346,0,3.209,
20260720_205010,20260720,144.0,0.394,-0.569,1,2.813,
20260720_205544,20260720,146.3,14.131,9.315,1,3.168,
20260720_210118,20260720,146.0,1.614,-0.451,1,2.438,
20260720_210654,20260720,151.7,6.641,1.982,1,3.168,
20260720_211228,20260720,151.3,3.437,0.842,1,3.168,
20260720_211802,20260720,150.0,0.289,-0.783,1,2.196,
20260720_212338,20260720,152.3,5.736,1.288,1,3.168,
20260720_212912,20260720,157.0,4.123,0.793,1,3.168,
20260720_213446,20260720,157.3,0.884,-0.454,1,1.596,
20260720_214022,20260720,158.7,7.509,2.902,1,3.168,
20260720_214556,20260720,162.0,8.459,2.967,1,3.168,
20260720_215130,20260720,164.7,4.121,0.255,2,3.064,
20260720_215706,20260720,168.7,4.262,0.334,2,3.168,
20260720_220240,20260720,174.0,3.773,0.28,2,2.682,
20260720_220814,20260720,175.7,5.013,1.096,2,3.168,
20260720_221350,20260720,173.3,4.891,1.05,2,2.948,
20260720_221925,20260720,171.3,3.947,0.993,1,2.718,
20260720_222459,20260720,170.7,5.567,0.972,1,3.168,
20260720_223035,20260720,173.7,4.444,1.639,2,3.029,
20260720_223609,20260720,178.0,4.072,1.132,2,2.788,
20260720_224143,20260720,178.0,3.667,1.794,2,2.352,
20260720_224719,20260720,176.0,4.39,0.889,3,2.352,
20260720_225253,20260720,176.3,5.461,1.003,3,2.352,
20260720_225826,20260720,175.0,6.369,0.688,3,2.717,
20260720_230403,20260720,175.7,5.401,0.973,3,2.352,
20260720_230937,20260720,175.0,2.071,0.563,3,2.352,
20260720_231510,20260720,172.3,3.008,-0.252,3,2.352,
20260720_231728,20260720,171.3,4.418,0.973,3,2.365,
20260720_232021,20260720,171.3,6.22,0.532,3,2.352,
20260720_232314,20260720,171.7,5.884,0.182,3,2.352,
20260720_232612,20260720,171.0,5.943,2.045,3,2.352,
20260720_232905,20260720,172.0,2.484,0.282,4,2.352,
20260720_233159,20260720,171.3,5.992,1.796,3,2.352,
20260720_233452,20260720,169.7,-0.122,-1.126,3,2.04,
20260720_233745,20260720,170.7,7.274,2.707,3,3.168,
20260720_234039,20260720,172.7,6.014,1.961,3,2.352,
20260720_234332,20260720,173.0,2.563,0.225,4,2.352,
20260720_234625,20260720,172.3,3.807,1.14,4,2.352,
20260720_234919,20260720,171.0,4.742,1.022,3,2.352,
20260720_235217,20260720,171.7,4.379,1.077,3,2.352,
20260720_235510,20260720,170.7,3.35,-0.33,2,3.168,
20260720_235804,20260720,167.7,4.593,1.304,3,2.352,
20260721_000057,20260721,164.7,4.185,1.102,4,2.966,
20260721_000351,20260721,164.0,7.369,3.022,4,2.966,
20260721_000644,20260721,163.0,4.83,0.334,4,2.902,
20260721_000938,20260721,164.0,2.224,-0.236,4,2.889,
20260721_001231,20260721,162.7,3.96,0.647,4,2.889,
20260721_001525,20260721,162.7,2.768,0.736,4,2.668,
20260721_001825,20260721,158.3,3.773,0.445,4,2.45,
20260721_002118,20260721,152.3,3.764,1.706,4,2.889,
20260721_002412,20260721,147.0,3.038,1.279,3,2.966,
20260721_002706,20260721,138.3,3.699,0.836,3,2.966,
20260721_002959,20260721,129.0,2.948,1.655,3,2.828,
